week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent/the-letter-for-the-king-2020,EUR
37,Movie,Charlie and the Chocolate Factory,USA,Fantasy,2005-07-09,False,67%,83%,IRE,https://flixpatrol.com/title/charlie-and-the-chocolate-factory,EUR
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,IRE,https://flixpatrol.com/title/away-2020,EUR
36,Movie,Zodiac,USA,Crime,2007-03-01,False,77%,89%,IRE,https://flixpatrol.com/title/zodiac,EUR
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,IRE,https://flixpatrol.com/title/cobra-kai,EUR
35,Movie,Bee Movie,USA,Animated,2007-10-28,False,62%,50%,IRE,https://flixpatrol.com/title/bee-movie,EUR
35,TV Show,The Fall,Ireland,Crime,2013-05-12,False,82%,,IRE,https://flixpatrol.com/title/the-fall-2013,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,IRE,https://flixpatrol.com/title/project-power,EUR
34,TV Show,Dirty John,USA,Drama,2018-11-25,True,69%,71%,IRE,https://flixpatrol.com/title/dirty-john,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,IRE,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,Selling Sunset,USA,Reality-Show,2019-03-22,True,53%,60%,IRE,https://flixpatrol.com/title/selling-sunset,EUR
32,Movie,Rumor Has It...,USA,Romance,2005-12-25,False,55%,20%,IRE,https://flixpatrol.com/title/rumor-has-it,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,IRE,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,IRE,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Good Girls,USA,Comedy,2018-02-26,True,78%,87%,IRE,https://flixpatrol.com/title/good-girls,EUR
30,Movie,Fatal Affair,USA,Drama,2020-07-16,False,46%,,IRE,https://flixpatrol.com/title/fatal-affair,EUR
30,Documentary TV,Fear City: New York vs The Mafia,USA,Documentary,2020-07-22,True,79%,67%,IRE,https://flixpatrol.com/title/fear-city-new-york-vs-the-mafia,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,IRE,https://flixpatrol.com/title/the-old-guard,EUR
29,Documentary TV,The Business of Drugs,USA,Documentary,2020-07-14,True,70%,,IRE,https://flixpatrol.com/title/the-business-of-drugs,EUR
28,Movie,Mission: Impossible - Fallout,USA,Action,2018-07-13,False,80%,97%,IRE,https://flixpatrol.com/title/mission-impossible-fallout,EUR
28,TV Show,Unsolved Mysteries,USA,Documentary,2020-07-01,True,80%,74%,IRE,https://flixpatrol.com/title/unsolved-mysteries-2020,EUR
27,Movie,Eurovision Song Contest: The Story of Fire Saga,USA,Comedy,2020-06-26,True,78%,63%,IRE,https://flixpatrol.com/title/eurovision-song-contest-the-story-of-fire-saga,EUR
27,TV Show,Unsolved Mysteries,USA,Documentary,2020-07-01,True,80%,74%,IRE,https://flixpatrol.com/title/unsolved-mysteries-2020,EUR
26,Movie,Hotel Transylvania 3: Summer Vacation,USA,Animated,2018-07-12,False,65%,60%,IRE,https://flixpatrol.com/title/hotel-transylvania-3-summer-vacation,EUR
26,TV Show,The Sinner,USA,Crime,2017-08-02,True,80%,90%,IRE,https://flixpatrol.com/title/the-sinner,EUR
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,IRE,https://flixpatrol.com/title/365-days,EUR
25,TV Show,The Woods,USA,Crime,2020-06-12,True,65%,,IRE,https://flixpatrol.com/title/the-woods-2020,EUR
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,IRE,https://flixpatrol.com/title/365-days,EUR
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,IRE,https://flixpatrol.com/title/13-reasons-why,EUR
23,Movie,The Addams Family,USA,Animated,2019-10-10,False,59%,44%,IRE,https://flixpatrol.com/title/the-addams-family-2019,EUR
23,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,2020-05-27,True,72%,79%,IRE,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,EUR
22,Movie,Justice League,USA,Superhero,2017-11-15,False,68%,40%,IRE,https://flixpatrol.com/title/justice-league,EUR
22,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,2020-05-27,True,72%,79%,IRE,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,EUR
21,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,IRE,https://flixpatrol.com/title/the-wrong-missy,EUR
21,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61%,64%,IRE,https://flixpatrol.com/title/white-lines,EUR
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,IRE,https://flixpatrol.com/title/the-wrong-missy,EUR
20,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,IRE,https://flixpatrol.com/title/the-last-dance,EUR
19,Documentary,Becoming,USA,Documentary,2020-05-06,True,64%,92%,IRE,https://flixpatrol.com/title/becoming,EUR
19,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,IRE,https://flixpatrol.com/title/the-last-dance,EUR
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,IRE,https://flixpatrol.com/title/extraction-2020,EUR
18,TV Show,After Life,United Kingdom,Comedy,2019-03-08,True,80%,74%,IRE,https://flixpatrol.com/title/after-life,EUR
17,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,IRE,https://flixpatrol.com/title/extraction-2020,EUR
17,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42%,37%,IRE,https://flixpatrol.com/title/too-hot-to-handle,EUR
16,Movie,Love. Wedding. Repeat,Italy,Comedy,2020-04-10,True,55%,34%,IRE,https://flixpatrol.com/title/love-wedding-repeat,EUR
