week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62,28,CHE,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7
31,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,CHE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
30,Movie,Fantastic Beasts: The Crimes of Grindelwald,United Kingdom,Fantasy,2018-11-14,False,70,40,CHE,https://flixpatrol.com/title/fantastic-beasts-the-crimes-of-grindelwald,EUR,2018,11
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51,69,CHE,https://flixpatrol.com/title/cursed-2020,EUR,2020,7
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82,80,CHE,https://flixpatrol.com/title/the-old-guard,EUR,2020,7
29,TV Show,Snowpiercer,USA,Science Fiction,2020-05-17,True,61,62,CHE,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5
28,Movie,Desperados,USA,Comedy,2020-07-03,True,51,15,CHE,https://flixpatrol.com/title/desperados-2020,EUR,2020,7
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69,0,CHE,https://flixpatrol.com/title/warrior-nun,EUR,2020,7
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,CHE,https://flixpatrol.com/title/365-days,EUR,2020,6
27,TV Show,The Blacklist,USA,Crime,2013-09-23,True,81,91,CHE,https://flixpatrol.com/title/the-blacklist,EUR,2013,9
26,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,CHE,https://flixpatrol.com/title/365-days,EUR,2020,6
26,TV Show,The Sinner,USA,Crime,2017-08-02,True,80,90,CHE,https://flixpatrol.com/title/the-sinner,EUR,2017,8
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,CHE,https://flixpatrol.com/title/365-days,EUR,2020,6
25,TV Show,Rick and Morty,USA,Animated,2013-12-02,False,93,0,CHE,https://flixpatrol.com/title/rick-and-morty,EUR,2013,12
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,CHE,https://flixpatrol.com/title/365-days,EUR,2020,6
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84,39,CHE,https://flixpatrol.com/title/13-reasons-why,EUR,2017,3
23,Movie,War for the Planet of the Apes,USA,Science Fiction,2017-07-11,False,75,93,CHE,https://flixpatrol.com/title/war-for-the-planet-of-the-apes,EUR,2017,7
23,TV Show,Space Force,USA,Comedy,2020-05-29,True,70,41,CHE,https://flixpatrol.com/title/space-force,EUR,2020,5
22,Movie,8 Mile,USA,Drama,2002-11-08,False,70,76,CHE,https://flixpatrol.com/title/8-mile,EUR,2002,11
22,TV Show,Dynasty,USA,Drama,2017-10-11,True,59,80,CHE,https://flixpatrol.com/title/dynasty-2017,EUR,2017,10
21,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56,25,CHE,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5
21,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61,64,CHE,https://flixpatrol.com/title/white-lines,EUR,2020,5
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56,25,CHE,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5
20,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94,97,CHE,https://flixpatrol.com/title/the-last-dance,EUR,2020,4
19,Movie,Dangerous Lies,USA,Thriller,2020-04-30,True,57,41,CHE,https://flixpatrol.com/title/dangerous-lies,EUR,2020,4
19,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94,97,CHE,https://flixpatrol.com/title/the-last-dance,EUR,2020,4
18,Movie,Extraction,USA,Action,2020-04-24,True,70,68,CHE,https://flixpatrol.com/title/extraction-2020,EUR,2020,4
18,TV Show,Never Have I Ever,USA,Comedy,2020-04-27,True,78,98,CHE,https://flixpatrol.com/title/never-have-i-ever,EUR,2020,4
17,Movie,Rising High,Germany,Comedy,2020-04-17,True,61,0,CHE,https://flixpatrol.com/title/rising-high,EUR,2020,4
17,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42,37,CHE,https://flixpatrol.com/title/too-hot-to-handle,EUR,2020,4
16,Movie,The Meg,USA,Horror,2018-08-10,False,67,46,CHE,https://flixpatrol.com/title/the-meg,EUR,2018,8
16,TV Show,Money Heist,Spain,Action,2017-05-02,True,84,93,CHE,https://flixpatrol.com/title/money-heist,EUR,2017,5
15,Documentary,Money Heist: The Phenomenon,Spain,Documentary,2020-04-03,True,78,0,CHE,https://flixpatrol.com/title/money-heist-the-phenomenon,EUR,2020,4
15,TV Show,Money Heist,Spain,Action,2017-05-02,True,84,93,CHE,https://flixpatrol.com/title/money-heist,EUR,2017,5
14,Movie,The Platform,Spain,Science Fiction,2020-03-20,True,73,0,CHE,https://flixpatrol.com/title/the-platform,EUR,2020,3
14,TV Show,Unorthodox,Germany,Drama,2020-03-26,True,75,95,CHE,https://flixpatrol.com/title/unorthodox,EUR,2020,3
13,Movie,The Platform,Spain,Science Fiction,2020-03-20,True,73,0,CHE,https://flixpatrol.com/title/the-platform,EUR,2020,3
13,TV Show,Elite,Spain,Crime,2018-10-05,True,76,97,CHE,https://flixpatrol.com/title/elite,EUR,2018,10
