,From Date,To Date,SO2
9333,2019-09-30 01:15:00,2019-09-30 01:30:00,125.26
9429,2019-01-10 01:15:00,2019-01-10 01:30:00,175.83
9525,2019-02-10 01:15:00,2019-02-10 01:30:00,None
9621,2019-03-10 01:15:00,2019-03-10 01:30:00,136.92
9717,2019-04-10 01:15:00,2019-04-10 01:30:00,None
9813,2019-05-10 01:15:00,2019-05-10 01:30:00,145.91
9909,2019-06-10 01:15:00,2019-06-10 01:30:00,163.02
10005,2019-07-10 01:15:00,2019-07-10 01:30:00,None
10101,2019-08-10 01:15:00,2019-08-10 01:30:00,None
10197,2019-09-10 01:15:00,2019-09-10 01:30:00,131.29
10293,2019-10-10 01:15:00,2019-10-10 01:30:00,148.34
10389,2019-11-10 01:15:00,2019-11-10 01:30:00,None
10485,2019-12-10 01:15:00,2019-12-10 01:30:00,None
10581,2019-10-13 01:15:00,2019-10-13 01:30:00,None
10677,2019-10-14 01:15:00,2019-10-14 01:30:00,None
10773,2019-10-15 01:15:00,2019-10-15 01:30:00,None
10869,2019-10-16 01:15:00,2019-10-16 01:30:00,None
10965,2019-10-17 01:15:00,2019-10-17 01:30:00,None
11061,2019-10-18 01:15:00,2019-10-18 01:30:00,None
11157,2019-10-19 01:15:00,2019-10-19 01:30:00,None
11253,2019-10-20 01:15:00,2019-10-20 01:30:00,None
11349,2019-10-21 01:15:00,2019-10-21 01:30:00,None
11445,2019-10-22 01:15:00,2019-10-22 01:30:00,None
11541,2019-10-23 01:15:00,2019-10-23 01:30:00,None
11637,2019-10-24 01:15:00,2019-10-24 01:30:00,None
11733,2019-10-25 01:15:00,2019-10-25 01:30:00,73.31
11829,2019-10-26 01:15:00,2019-10-26 01:30:00,None
11925,2019-10-27 01:15:00,2019-10-27 01:30:00,None
12021,2019-10-28 01:15:00,2019-10-28 01:30:00,151.46
12117,2019-10-29 01:15:00,2019-10-29 01:30:00,None
12213,2019-10-30 01:15:00,2019-10-30 01:30:00,None
12309,2019-10-31 01:15:00,2019-10-31 01:30:00,None
12405,2019-01-11 01:15:00,2019-01-11 01:30:00,None
12501,2019-02-11 01:15:00,2019-02-11 01:30:00,118.32
12597,2019-03-11 01:15:00,2019-03-11 01:30:00,125.63
12693,2019-04-11 01:15:00,2019-04-11 01:30:00,None
12789,2019-05-11 01:15:00,2019-05-11 01:30:00,77.24
12885,2019-06-11 01:15:00,2019-06-11 01:30:00,None
12981,2019-07-11 01:15:00,2019-07-11 01:30:00,None
13077,2019-08-11 01:15:00,2019-08-11 01:30:00,None
13173,2019-09-11 01:15:00,2019-09-11 01:30:00,None
13269,2019-10-11 01:15:00,2019-10-11 01:30:00,None
13365,2019-11-11 01:15:00,2019-11-11 01:30:00,None
13461,2019-12-11 01:15:00,2019-12-11 01:30:00,None
13557,2019-11-13 01:15:00,2019-11-13 01:30:00,None
13653,2019-11-14 01:15:00,2019-11-14 01:30:00,None
13749,2019-11-15 01:15:00,2019-11-15 01:30:00,None
13845,2019-11-16 01:15:00,2019-11-16 01:30:00,182.06
13941,2019-11-17 01:15:00,2019-11-17 01:30:00,None
14037,2019-11-18 01:15:00,2019-11-18 01:30:00,162.07
14133,2019-11-19 01:15:00,2019-11-19 01:30:00,148.32
14229,2019-11-20 01:15:00,2019-11-20 01:30:00,179.84
14325,2019-11-21 01:15:00,2019-11-21 01:30:00,187.57
14421,2019-11-22 01:15:00,2019-11-22 01:30:00,None
14517,2019-11-23 01:15:00,2019-11-23 01:30:00,118.11
14613,2019-11-24 01:15:00,2019-11-24 01:30:00,178.32
14709,2019-11-25 01:15:00,2019-11-25 01:30:00,104.8
14805,2019-11-26 01:15:00,2019-11-26 01:30:00,122.56
14901,2019-11-27 01:15:00,2019-11-27 01:30:00,170.54
14997,2019-11-28 01:15:00,2019-11-28 01:30:00,None
15093,2019-11-29 01:15:00,2019-11-29 01:30:00,None
15189,2019-11-30 01:15:00,2019-11-30 01:30:00,None
15285,2019-01-12 01:15:00,2019-01-12 01:30:00,167.84
15381,2019-02-12 01:15:00,2019-02-12 01:30:00,181.99
15477,2019-03-12 01:15:00,2019-03-12 01:30:00,103.67
15573,2019-04-12 01:15:00,2019-04-12 01:30:00,110.62
15669,2019-05-12 01:15:00,2019-05-12 01:30:00,None
15765,2019-06-12 01:15:00,2019-06-12 01:30:00,23.55
15861,2019-07-12 01:15:00,2019-07-12 01:30:00,53.68
15957,2019-08-12 01:15:00,2019-08-12 01:30:00,20.78
16053,2019-09-12 01:15:00,2019-09-12 01:30:00,14.8
16149,2019-10-12 01:15:00,2019-10-12 01:30:00,15.88
16245,2019-11-12 01:15:00,2019-11-12 01:30:00,73.52
16341,2019-12-12 01:15:00,2019-12-12 01:30:00,65.4
16437,2019-12-13 01:15:00,2019-12-13 01:30:00,19.62
16533,2019-12-14 01:15:00,2019-12-14 01:30:00,20.33
16629,2019-12-15 01:15:00,2019-12-15 01:30:00,60.73
16725,2019-12-16 01:15:00,2019-12-16 01:30:00,9.43
16821,2019-12-17 01:15:00,2019-12-17 01:30:00,18.44
16917,2019-12-18 01:15:00,2019-12-18 01:30:00,18.18
17013,2019-12-19 01:15:00,2019-12-19 01:30:00,23.32
17109,2019-12-20 01:15:00,2019-12-20 01:30:00,33.06
17205,2019-12-21 01:15:00,2019-12-21 01:30:00,None
17301,2019-12-22 01:15:00,2019-12-22 01:30:00,57.01
17397,2019-12-23 01:15:00,2019-12-23 01:30:00,29.82
17493,2019-12-24 01:15:00,2019-12-24 01:30:00,71.87
17589,2019-12-25 01:15:00,2019-12-25 01:30:00,185.76
17685,2019-12-26 01:15:00,2019-12-26 01:30:00,114.42
17781,2019-12-27 01:15:00,2019-12-27 01:30:00,58.19
17877,2019-12-28 01:15:00,2019-12-28 01:30:00,82.66
17973,2019-12-29 01:15:00,2019-12-29 01:30:00,50.33
18069,2019-12-30 01:15:00,2019-12-30 01:30:00,108.83
18165,2019-12-31 01:15:00,2019-12-31 01:30:00,186.07
18261,2020-01-01 01:15:00,2020-01-01 01:30:00,44.54
18357,2020-02-01 01:15:00,2020-02-01 01:30:00,23.21
18453,2020-03-01 01:15:00,2020-03-01 01:30:00,30.13
18549,2020-04-01 01:15:00,2020-04-01 01:30:00,53.29
18645,2020-05-01 01:15:00,2020-05-01 01:30:00,None
18741,2020-06-01 01:15:00,2020-06-01 01:30:00,19.62
18837,2020-07-01 01:15:00,2020-07-01 01:30:00,12.34
