,appName,pkgName,eventType,eventFlag,className,datetime,timestamp
309,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.bittorrent.app.Main,01-03-2021 19:13:45,1614606225203
310,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:13:47,1614606227068
311,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.bittorrent.app.Main,01-03-2021 19:13:47,1614606227076
312,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:13:48,1614606227752
313,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.bittorrent.app.Main,01-03-2021 19:13:48,1614606227827
314,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:13:49,1614606228613
315,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.bittorrent.app.Main,01-03-2021 19:13:49,1614606228629
316,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:13:49,1614606229284
317,Chrome,com.android.chrome,1,ACTIVITY_RESUMED,org.chromium.chrome.browser.ChromeTabbedActivity,01-03-2021 19:13:49,1614606229287
318,Chrome,com.android.chrome,2,ACTIVITY_PAUSED,org.chromium.chrome.browser.ChromeTabbedActivity,01-03-2021 19:14:42,1614606282044
319,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.bittorrent.app.Main,01-03-2021 19:14:42,1614606282055
320,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.bittorrent.app.Main,01-03-2021 19:14:43,1614606282511
321,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.ironsource.sdk.controller.ControllerActivity,01-03-2021 19:14:43,1614606282537
322,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:14:44,1614606284307
323,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.ironsource.sdk.controller.ControllerActivity,01-03-2021 19:14:44,1614606284325
324,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:14:46,1614606286321
325,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:23:52,1614606832211
326,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:24:04,1614606843938
327,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:24:04,1614606843957
328,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:24:06,1614606846098
329,Chrome,com.android.chrome,1,ACTIVITY_RESUMED,org.chromium.chrome.browser.ChromeTabbedActivity,01-03-2021 19:24:06,1614606846117
330,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:24:14,1614606853506
331,Chrome,com.android.chrome,2,ACTIVITY_PAUSED,org.chromium.chrome.browser.ChromeTabbedActivity,01-03-2021 19:24:14,1614606853525
332,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:24:14,1614606854323
333,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.ironsource.sdk.controller.ControllerActivity,01-03-2021 19:24:14,1614606854335
334,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.ironsource.sdk.controller.ControllerActivity,01-03-2021 19:24:29,1614606868760
335,null,android,1,ACTIVITY_RESUMED,com.android.internal.app.ResolverActivity,01-03-2021 19:24:29,1614606868830
336,null,android,2,ACTIVITY_PAUSED,com.android.internal.app.ResolverActivity,01-03-2021 19:24:29,1614606869274
337,GetApps,com.xiaomi.mipicks,1,ACTIVITY_RESUMED,com.xiaomi.market.appchooser.AppChooserActivity,01-03-2021 19:24:29,1614606869340
338,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:24:30,1614606869652
339,GetApps,com.xiaomi.mipicks,2,ACTIVITY_PAUSED,com.xiaomi.market.appchooser.AppChooserActivity,01-03-2021 19:24:30,1614606870013
340,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:24:40,1614606880407
341,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:27:11,1614607030838
342,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:27:17,1614607037181
343,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:27:17,1614607037190
344,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:27:18,1614607038047
345,GetApps,com.xiaomi.mipicks,1,ACTIVITY_RESUMED,com.xiaomi.market.appchooser.AppChooserActivity,01-03-2021 19:27:18,1614607038078
346,null,android,2,ACTIVITY_PAUSED,com.android.internal.app.ResolverActivity,01-03-2021 19:27:18,1614607038125
347,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.ironsource.sdk.controller.ControllerActivity,01-03-2021 19:27:18,1614607038126
348,GetApps,com.xiaomi.mipicks,2,ACTIVITY_PAUSED,com.xiaomi.market.appchooser.AppChooserActivity,01-03-2021 19:27:20,1614607040090
349,null,android,1,ACTIVITY_RESUMED,com.android.internal.app.ResolverActivity,01-03-2021 19:27:20,1614607040109
350,null,android,2,ACTIVITY_PAUSED,com.android.internal.app.ResolverActivity,01-03-2021 19:27:20,1614607040116
351,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.ironsource.sdk.controller.ControllerActivity,01-03-2021 19:27:20,1614607040143
352,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.ironsource.sdk.controller.ControllerActivity,01-03-2021 19:27:22,1614607042223
353,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.bittorrent.app.Main,01-03-2021 19:27:22,1614607042230
354,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:27:25,1614607045245
355,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.bittorrent.app.Main,01-03-2021 19:27:25,1614607045263
356,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:27:31,1614607051408
357,Telegram,org.telegram.messenger,1,ACTIVITY_RESUMED,org.telegram.ui.LaunchActivity,01-03-2021 19:27:31,1614607051424
358,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:28:01,1614607080728
359,Telegram,org.telegram.messenger,2,ACTIVITY_PAUSED,org.telegram.ui.LaunchActivity,01-03-2021 19:28:01,1614607080747
360,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:28:13,1614607093479
361,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:31:20,1614607280323
362,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:31:24,1614607283909
363,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:31:24,1614607283919
364,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 19:31:25,1614607285241
365,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 19:31:25,1614607285256
366,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 19:31:28,1614607287961
367,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 19:36:00,1614607560225
368,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 19:36:00,1614607560418
369,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 19:36:00,1614607560421
370,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 19:36:30,1614607590440
371,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 19:36:50,1614607610419
372,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 19:36:50,1614607610488
373,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 19:36:50,1614607610493
374,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 19:37:14,1614607634034
375,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 19:57:09,1614608828856
376,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 19:57:09,1614608828927
377,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 19:57:09,1614608828940
378,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 19:57:12,1614608832275
379,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 20:00:33,1614609033261
380,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 20:00:35,1614609034810
381,Contacts and dialer,com.android.contacts,1,ACTIVITY_RESUMED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:00:35,1614609034875
382,Contacts and dialer,com.android.contacts,2,ACTIVITY_PAUSED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:00:37,1614609036763
383,null,com.android.server.telecom,1,ACTIVITY_RESUMED,com.android.server.telecom.components.UserCallActivity,01-03-2021 20:00:37,1614609036839
384,null,com.android.server.telecom,2,ACTIVITY_PAUSED,com.android.server.telecom.components.UserCallActivity,01-03-2021 20:00:37,1614609036969
